Province,Ma_TP,District,Ma_QH,Ward/Commune,Ma_PX
Hà Nội,1,Ba Đình,1,Phúc Xá,1.0
Hà Nội,1,Ba Đình,1,Trúc Bạch,4.0
Hà Nội,1,Ba Đình,1,Vĩnh Phúc,6.0
Hà Nội,1,Ba Đình,1,Cống Vị,7.0
Hà Nội,1,Ba Đình,1,Liễu Giai,8.0
Hà Nội,1,Ba Đình,1,Nguyễn Trung Trực,10.0
Hà Nội,1,Ba Đình,1,Quán Thánh,13.0
Hà Nội,1,Ba Đình,1,Ngọc Hà,16.0
Hà Nội,1,Ba Đình,1,Điện Biên,19.0
Hà Nội,1,Ba Đình,1,Đội Cấn,22.0
Hà Nội,1,Ba Đình,1,Ngọc Khánh,25.0
Hà Nội,1,Ba Đình,1,Kim Mã,28.0
Hà Nội,1,Ba Đình,1,Giảng Võ,31.0
Hà Nội,1,Ba Đình,1,Thành Công,34.0
Hà Nội,1,Hoàn Kiếm,2,Phúc Tân,37.0
Hà Nội,1,Hoàn Kiếm,2,Đồng Xuân,40.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Mã,43.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Buồm,46.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Đào,49.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Bồ,52.0
Hà Nội,1,Hoàn Kiếm,2,Cửa Đông,55.0
Hà Nội,1,Hoàn Kiếm,2,Lý Thái Tổ,58.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Bạc,61.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Gai,64.0
Hà Nội,1,Hoàn Kiếm,2,Chương Dương,67.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Trống,70.0
Hà Nội,1,Hoàn Kiếm,2,Cửa Nam,73.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Bông,76.0
Hà Nội,1,Hoàn Kiếm,2,Tràng Tiền,79.0
Hà Nội,1,Hoàn Kiếm,2,Trần Hưng Đạo,82.0
Hà Nội,1,Hoàn Kiếm,2,Phan Chu Trinh,85.0
Hà Nội,1,Hoàn Kiếm,2,Hàng Bài,88.0
Hà Nội,1,Tây Hồ,3,Phú Thượng,91.0
Hà Nội,1,Tây Hồ,3,Nhật Tân,94.0
Hà Nội,1,Tây Hồ,3,Tứ Liên,97.0
Hà Nội,1,Tây Hồ,3,Quảng An,100.0
Hà Nội,1,Tây Hồ,3,Xuân La,103.0
Hà Nội,1,Tây Hồ,3,Yên Phụ,106.0
Hà Nội,1,Tây Hồ,3,Bưởi,109.0
Hà Nội,1,Tây Hồ,3,Thụy Khuê,112.0
Hà Nội,1,Long Biên,4,Thượng Thanh,115.0
Hà Nội,1,Long Biên,4,Ngọc Thụy,118.0
Hà Nội,1,Long Biên,4,Giang Biên,121.0
Hà Nội,1,Long Biên,4,Đức Giang,124.0
Hà Nội,1,Long Biên,4,Việt Hưng,127.0
Hà Nội,1,Long Biên,4,Gia Thụy,130.0
Hà Nội,1,Long Biên,4,Ngọc Lâm,133.0
Hà Nội,1,Long Biên,4,Phúc Lợi,136.0
Hà Nội,1,Long Biên,4,Bồ Đề,139.0
Hà Nội,1,Long Biên,4,Sài Đồng,142.0
Hà Nội,1,Long Biên,4,Long Biên,145.0
Hà Nội,1,Long Biên,4,Thạch Bàn,148.0
Hà Nội,1,Long Biên,4,Phúc Đồng,151.0
Hà Nội,1,Long Biên,4,Cự Khối,154.0
Hà Nội,1,Cầu Giấy,5,Nghĩa Đô,157.0
Hà Nội,1,Cầu Giấy,5,Nghĩa Tân,160.0
Hà Nội,1,Cầu Giấy,5,Mai Dịch,163.0
Hà Nội,1,Cầu Giấy,5,Dịch Vọng,166.0
Hà Nội,1,Cầu Giấy,5,Dịch Vọng Hậu,167.0
Hà Nội,1,Cầu Giấy,5,Quan Hoa,169.0
Hà Nội,1,Cầu Giấy,5,Yên Hoà,172.0
Hà Nội,1,Cầu Giấy,5,Trung Hoà,175.0
Hà Nội,1,Đống Đa,6,Cát Linh,178.0
Hà Nội,1,Đống Đa,6,Văn Miếu,181.0
Hà Nội,1,Đống Đa,6,Quốc Tử Giám,184.0
Hà Nội,1,Đống Đa,6,Láng Thượng,187.0
Hà Nội,1,Đống Đa,6,Ô Chợ Dừa,190.0
Hà Nội,1,Đống Đa,6,Văn Chương,193.0
Hà Nội,1,Đống Đa,6,Hàng Bột,196.0
Hà Nội,1,Đống Đa,6,Láng Hạ,199.0
Hà Nội,1,Đống Đa,6,Khâm Thiên,202.0
Hà Nội,1,Đống Đa,6,Thổ Quan,205.0
Hà Nội,1,Đống Đa,6,Nam Đồng,208.0
Hà Nội,1,Đống Đa,6,Trung Phụng,211.0
Hà Nội,1,Đống Đa,6,Quang Trung,214.0
Hà Nội,1,Đống Đa,6,Trung Liệt,217.0
Hà Nội,1,Đống Đa,6,Phương Liên,220.0
Hà Nội,1,Đống Đa,6,Thịnh Quang,223.0
Hà Nội,1,Đống Đa,6,Trung Tự,226.0
Hà Nội,1,Đống Đa,6,Kim Liên,229.0
Hà Nội,1,Đống Đa,6,Phương Mai,232.0
Hà Nội,1,Đống Đa,6,Ngã Tư Sở,235.0
Hà Nội,1,Đống Đa,6,Khương Thượng,238.0
