Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Ward/Commune,District,Province
84.0,,,4.0,,,8.6,Long Hưng,Văn Giang,Hưng Yên
60.0,,,5.0,,,7.5,Nghĩa Trụ,Văn Giang,Hưng Yên
90.0,6.0,13.0,5.0,,,8.9,Nghĩa Trụ,Văn Giang,Hưng Yên
54.0,,3.5,2.0,2.0,3.0,5.35,11,Gò Vấp,Hồ Chí Minh
92.0,,,2.0,4.0,4.0,6.9,8,Gò Vấp,Hồ Chí Minh
91.0,7.0,13.0,,,,9.8,Long Hưng,Văn Giang,Hưng Yên
64.0,4.0,,5.0,,,7.2,Long Hưng,Văn Giang,Hưng Yên
48.0,,,5.0,6.0,,5.7,Long Hưng,Văn Giang,Hưng Yên
91.0,7.0,,5.0,,,9.5,Nghĩa Trụ,Văn Giang,Hưng Yên
80.0,5.0,13.0,5.0,6.0,6.0,10.0,Nghĩa Trụ,Văn Giang,Hưng Yên
70.0,6.0,13.0,5.0,6.0,,9.8,Nghĩa Trụ,Văn Giang,Hưng Yên
60.0,,,5.0,,,8.9,Nghĩa Trụ,Văn Giang,Hưng Yên
91.0,,,,,,8.6,Long Hưng,Văn Giang,Hưng Yên
96.0,6.0,13.0,4.0,,,9.6,Long Hưng,Văn Giang,Hưng Yên
30.0,,,2.0,2.0,2.0,3.79,14,Gò Vấp,Hồ Chí Minh
300.0,15.0,32.0,3.0,6.0,3.0,9.4,Đông Xá,Vân Đồn,Quảng Ninh
91.0,7.0,17.0,,,,10.0,Nghĩa Trụ,Văn Giang,Hưng Yên
65.0,5.0,20.0,5.0,5.0,4.0,7.8,Long Hưng,Văn Giang,Hưng Yên
46.0,4.6,6.0,4.0,4.0,5.0,7.99,12,Gò Vấp,Hồ Chí Minh
75.0,5.0,13.0,5.0,7.0,5.0,8.7,Long Hưng,Văn Giang,Hưng Yên
100.0,,,3.0,3.0,3.0,3.3,Vĩnh Tân,Tân Uyên,Bình Dương
84.0,6.0,,5.0,,,9.45,Nghĩa Trụ,Văn Giang,Hưng Yên
60.0,3.5,5.0,2.0,6.0,5.0,5.6,22,Bình Thạnh,Hồ Chí Minh
369.0,15.0,12.0,2.0,4.0,4.0,6.3,Đồng Trung,Thanh Thủy,Phú Thọ
75.0,5.0,13.0,,,,7.7,Nghĩa Trụ,Văn Giang,Hưng Yên
55.0,5.0,,2.0,4.0,,3.25,6,Bình Thạnh,Hồ Chí Minh
78.0,6.0,,5.0,,,9.59,Nghĩa Trụ,Văn Giang,Hưng Yên
67.4,4.0,8.0,5.0,4.0,6.0,9.5,9,Gò Vấp,Hồ Chí Minh
28.0,,3.0,2.0,2.0,2.0,3.88,16,Gò Vấp,Hồ Chí Minh
150.0,,,2.0,7.0,,6.7,An Phú,Thuận An,Bình Dương
72.0,5.6,3.5,1.0,,,10.0,Phú Thượng,Tây Hồ,Hà Nội
78.0,6.0,13.0,4.0,6.0,6.0,8.63,Long Hưng,Văn Giang,Hưng Yên
68.0,,,3.0,4.0,6.0,6.5,Hiệp Bình Phước,Thủ Đức,Hồ Chí Minh
43.0,,4.0,3.0,3.0,3.0,5.85,9,Gò Vấp,Hồ Chí Minh
32.8,4.5,6.0,5.0,,,7.5,Quan Hoa,Cầu Giấy,Hà Nội
168.0,,,2.0,4.0,4.0,5.2,Vĩnh Tân,Tân Uyên,Bình Dương
72.0,17.0,36.0,2.0,2.0,2.0,2.0,Uyên Hưng,Tân Uyên,Bình Dương
70.0,5.0,13.0,5.0,6.0,4.0,8.5,Long Hưng,Văn Giang,Hưng Yên
80.0,5.0,,5.0,,,9.0,Nghĩa Trụ,Văn Giang,Hưng Yên
378.0,,,2.0,3.0,3.0,7.8,Lại Thượng,Thạch Thất,Hà Nội
88.0,5.5,11.5,5.0,4.0,4.0,6.5,Yên Phú,Yên Mỹ,Hưng Yên
54.0,5.8,3.0,4.0,6.0,6.0,8.8,Mỹ Đình 1,Nam Từ Liêm,Hà Nội.
36.0,3.8,2.2,5.0,,,3.85,La Phù,Hoài Đức,Hà Nội
41.0,,3.5,5.0,4.0,4.0,10.0,Yên Hòa,Cầu Giấy,Hà Nội
46.0,,30.0,,1.0,1.0,4.3,Long Thạnh Mỹ,Quận 9,Hồ Chí Minh
180.0,10.0,,4.0,3.0,3.0,5.3,Minh Tân,Kinh Môn,Hải Dương
45.0,5.0,6.0,3.0,3.0,4.0,5.95,11,Bình Thạnh,Hồ Chí Minh
90.0,6.0,,2.0,4.0,3.0,3.2,An Thạnh,Bến Lức,Long An
88.0,5.5,17.0,5.0,4.0,4.0,6.6,Yên Phú,Yên Mỹ,Hưng Yên
85.0,,,,4.0,5.0,5.9,Tân Phước Khánh,Tân Uyên,Bình Dương
143.9,,,4.0,4.0,5.0,9.5,Tam Bình,Thủ Đức,Hồ Chí Minh
81.3,,,5.0,,,9.7,Thường Tín,Thường Tín,Hà Nội
88.0,,,4.0,,,6.7,Yên Phú,Yên Mỹ,Hưng Yên
38.0,,,2.0,1.0,1.0,4.1,13,Bình Thạnh,Hồ Chí Minh
40.0,4.1,6.0,4.0,3.0,4.0,7.7,7,Phú Nhuận,Hồ Chí Minh
113.0,,,,,,6.2,Trung Mỹ Tây,Quận 12,Hồ Chí Minh
150.0,5.0,29.0,2.0,,,4.9,An Hòa,Rạch Giá,Kiên Giang
69.1,4.0,4.5,3.0,3.0,4.0,10.0,5,Bình Thạnh,Hồ Chí Minh
100.0,5.0,,3.0,5.0,3.0,8.1,Long Trường,Quận 9,Hồ Chí Minh
30.0,,6.0,3.0,,,7.15,12,Phú Nhuận,Hồ Chí Minh
85.0,,,3.0,4.0,4.0,5.9,Tân Phước Khánh,Tân Uyên,Bình Dương
54.0,,,,,,8.15,Nghĩa Trụ,Văn Giang,Hưng Yên
52.7,7.0,3.0,5.0,6.0,,7.6,Xuân Đỉnh,Bắc Từ Liêm,Hà Nội
73.0,5.0,,4.0,4.0,4.0,9.5,Cống Vị,Ba Đình,Hà Nội
80.0,,,,,,10.0,Thường Tín,Thường Tín,Hà Nội
120.0,,,2.0,3.0,3.0,3.1,Tiến Thành,Phan Thiết,Bình Thuận
82.5,,15.5,4.0,4.0,3.0,5.71,Lê Lợi,An Dương,Hải Phòng
52.0,4.0,3.0,4.0,4.0,4.0,6.5,Trung Liệt,Đống Đa,Hà Nội
45.0,6.0,3.0,4.0,4.0,4.0,7.65,Trung Liệt,Đống Đa,Hà Nội
200.0,10.0,13.0,2.0,3.0,3.0,5.6,Tiến Thành,Phan Thiết,Bình Thuận
120.0,,,3.0,4.0,3.0,8.4,Thanh Lâm,Mê Linh,Hà Nội
64.0,4.0,,3.0,4.0,3.0,4.7,Hiệp Thành,Quận 12,Hồ Chí Minh
50.0,3.7,3.5,5.0,7.0,6.0,8.9,Nhân Chính,Thanh Xuân,Hà Nội
36.0,7.0,3.0,5.0,3.0,4.0,5.6,Đại Mỗ,Nam Từ Liêm,Hà Nội.
368.0,,,,,,6.3,Đồng Trung,Thanh Thủy,Phú Thọ
88.0,,,4.0,,,6.6,Yên Phú,Yên Mỹ,Hưng Yên
156.0,,,2.0,,,7.8,7,Quận 8,Hồ Chí Minh
99.4,4.0,,2.0,,2.0,9.5,Cầu Diễn,Nam Từ Liêm,Hà Nội.
33.0,,,5.0,,,4.95,Văn Quán,Hà Đông,Hà Nội
100.0,,,,,,7.5,Kiến Hưng,Hà Đông,Hà Nội
