Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Ma_TP,Ma_QH,Ma_PX
84.0,4.5,6.0,4.0,3.0,3.0,8.6,33.0,326.0,12034.0
60.0,4.5,6.0,5.0,3.0,3.0,7.5,33.0,326.0,12031.0
90.0,6.0,13.0,5.0,3.0,3.0,8.9,33.0,326.0,12031.0
54.0,4.5,3.5,2.0,2.0,3.0,5.35,79.0,764.0,26899.0
92.0,4.5,6.0,2.0,4.0,4.0,6.9,79.0,764.0,26898.0
91.0,7.0,13.0,3.0,3.0,3.0,9.8,33.0,326.0,12034.0
64.0,4.0,6.0,5.0,3.0,3.0,7.2,33.0,326.0,12034.0
48.0,4.5,6.0,5.0,6.0,3.0,5.7,33.0,326.0,12034.0
91.0,7.0,6.0,5.0,3.0,3.0,9.5,33.0,326.0,12031.0
80.0,5.0,13.0,5.0,6.0,6.0,10.0,33.0,326.0,12031.0
70.0,6.0,13.0,5.0,6.0,3.0,9.8,33.0,326.0,12031.0
60.0,4.5,6.0,5.0,3.0,3.0,8.9,33.0,326.0,12031.0
91.0,4.5,6.0,3.0,3.0,3.0,8.6,33.0,326.0,12034.0
96.0,6.0,13.0,4.0,3.0,3.0,9.6,33.0,326.0,12034.0
30.0,4.5,6.0,2.0,2.0,2.0,3.79,79.0,764.0,26882.0
300.0,15.0,32.0,3.0,6.0,3.0,9.4,22.0,203.0,7015.0
91.0,7.0,17.0,3.0,3.0,3.0,10.0,33.0,326.0,12031.0
65.0,5.0,20.0,5.0,5.0,4.0,7.8,33.0,326.0,12034.0
46.0,4.6,6.0,4.0,4.0,5.0,7.99,79.0,764.0,26881.0
75.0,5.0,13.0,5.0,7.0,5.0,8.7,33.0,326.0,12034.0
100.0,4.5,6.0,3.0,3.0,3.0,3.3,74.0,723.0,25912.0
84.0,6.0,6.0,5.0,3.0,3.0,9.45,33.0,326.0,12031.0
60.0,3.5,5.0,2.0,6.0,5.0,5.6,79.0,765.0,26956.0
75.0,5.0,13.0,3.0,3.0,3.0,7.7,33.0,326.0,12031.0
78.0,6.0,6.0,5.0,3.0,3.0,9.59,33.0,326.0,12031.0
67.4,4.0,8.0,5.0,4.0,6.0,9.5,79.0,764.0,26897.0
28.0,4.5,3.0,2.0,2.0,2.0,3.88,79.0,764.0,26878.0
150.0,4.5,6.0,2.0,7.0,3.0,6.7,74.0,725.0,25975.0
72.0,5.6,3.5,1.0,3.0,3.0,10.0,1.0,3.0,91.0
78.0,6.0,13.0,4.0,6.0,6.0,8.63,33.0,326.0,12034.0
68.0,4.5,6.0,3.0,4.0,6.0,6.5,79.0,769.0,26809.0
43.0,4.5,4.0,3.0,3.0,3.0,5.85,79.0,764.0,26897.0
32.8,4.5,6.0,5.0,3.0,3.0,7.5,1.0,5.0,169.0
168.0,4.5,6.0,2.0,4.0,4.0,5.2,74.0,723.0,25912.0
72.0,17.0,36.0,2.0,2.0,2.0,2.0,74.0,723.0,25888.0
70.0,5.0,13.0,5.0,6.0,4.0,8.5,33.0,326.0,12034.0
80.0,5.0,6.0,5.0,3.0,3.0,9.0,33.0,326.0,12031.0
378.0,4.5,6.0,2.0,3.0,3.0,7.8,1.0,276.0,9964.0
88.0,5.5,11.5,5.0,4.0,4.0,6.5,33.0,327.0,12079.0
36.0,3.8,2.2,5.0,3.0,3.0,3.85,1.0,274.0,9889.0
180.0,10.0,6.0,4.0,3.0,3.0,5.3,30.0,292.0,10702.0
45.0,5.0,6.0,3.0,3.0,4.0,5.95,79.0,765.0,26908.0
90.0,6.0,6.0,2.0,4.0,3.0,3.2,80.0,803.0,28012.0
88.0,5.5,17.0,5.0,4.0,4.0,6.6,33.0,327.0,12079.0
85.0,4.5,6.0,3.0,4.0,5.0,5.9,74.0,723.0,25891.0
143.9,4.5,6.0,4.0,4.0,5.0,9.5,79.0,769.0,26803.0
